State,Year,Cum_DC,Cum_MW,Avg_kWh
AZ,2013,0,0.0,0.09570724238479775
AZ,2014,1,0.0,0.0967734276182658
AZ,2015,2,0.0,0.0990039746783915
AZ,2016,2,0.0,0.09963632318640511
AZ,2017,2,0.0,0.10199033741193546
AZ,2018,4,0.0,0.1068242269929532
AZ,2019,5,0.0,0.1054606537773045
AZ,2020,5,0.0,0.10391519627029908
AZ,2021,5,0.0,0.10570031602443007
AZ,2022,5,0.0,0.1150519685390102
AZ,2023,5,0.0,0.11988081713708221
AZ,2024,5,0.0,0.12316935268666707
CA,2013,0,0.0,0.13302594425409756
CA,2014,0,0.0,0.1361822636411801
CA,2015,3,0.0,0.14176513016838196
CA,2016,3,0.0,0.13657084933025032
CA,2017,3,0.0,0.1427006844041945
CA,2018,3,0.0,0.12922727913512386
CA,2019,3,0.0,0.13183838412501125
CA,2020,3,0.0,0.12261937071095255
CA,2021,3,0.0,0.1211670424267691
CA,2022,3,0.0,0.1388352006682997
CA,2023,3,0.0,0.17316501827254097
CA,2024,3,0.0,0.1715181812507339
CO,2013,0,0.0,0.10835294546010972
CO,2014,0,0.0,0.10614020173355393
CO,2015,0,0.0,0.10541253536282262
CO,2016,1,0.0,0.10875938376710384
CO,2017,1,0.0,0.10942939982991119
CO,2018,1,0.0,0.11130986835702834
CO,2019,1,0.0,0.1189816270423842
CO,2020,1,0.0,0.11098100804879592
CO,2021,1,0.0,0.11397124648047108
CO,2022,1,0.0,0.11748801890530398
CO,2023,1,0.0,0.12194195322988714
CO,2024,1,0.0,0.1264964224334286
GA,2013,1,0.0,0.10667454956590486
GA,2014,2,0.0,0.10897025283798743
GA,2015,3,0.0,0.10982254463757796
GA,2016,3,0.0,0.10914134089624437
GA,2017,3,0.0,0.11123321848982964
GA,2018,3,0.0,0.11046901881562114
GA,2019,3,0.0,0.11329959255459002
GA,2020,3,0.0,0.111585624663591
GA,2021,3,0.0,0.11283326659701647
GA,2022,3,0.0,0.11974664051750435
GA,2023,3,0.0,0.11868325207483753
GA,2024,3,0.0,0.11871824122972649
IA,2013,2,0.0,0.0977095741819952
IA,2014,3,0.0,0.09933016086320608
IA,2015,3,0.0,0.10037116927691138
IA,2016,3,0.0,0.10105959762874965
IA,2017,3,0.0,0.1041119080880114
IA,2018,3,0.0,0.10155853811832088
IA,2019,3,0.0,0.10637632085591649
IA,2020,4,175.0,0.09910315367872104
IA,2021,4,175.0,0.09934020985441844
IA,2022,4,175.0,0.1026314457252785
IA,2023,4,175.0,0.10376270704850198
