State,Year,DC_Opened,PrevPrice,Avg_kWh,Pred_baseline,DC_minus10,Pred_minus10,DC_plus10,Pred_plus10,DC_plus20,Pred_plus20,DC_slow75,Pred_slow75,DC_fast150,Pred_fast150,DC_ban0,Pred_ban0
AZ,2014,1,0.09570724238479775,0.0967734276182658,0.09943069035704703,0.9,0.09943069035704703,1.1,0.09943069035704703,1.2,0.09943069035704703,0.75,0.09943069035704703,1.5,0.09943069035704703,0.0,0.10017960903683411
AZ,2015,1,0.0967734276182658,0.0990039746783915,0.09950635289425876,0.9,0.09950635289425876,1.1,0.09950635289425876,1.2,0.09950635289425876,0.75,0.09950635289425876,1.5,0.09950635289425876,0.0,0.1001980210023525
AZ,2016,0,0.0990039746783915,0.09963632318640511,0.10129614706469114,0.0,0.10129614706469114,0.0,0.10129614706469114,0.0,0.10129614706469114,0.0,0.10129614706469114,0.0,0.10129614706469114,0.0,0.10129614706469114
AZ,2017,0,0.09963632318640511,0.10199033741193546,0.10348212681421257,0.0,0.10348212681421257,0.0,0.10348212681421257,0.0,0.10348212681421257,0.0,0.10348212681421257,0.0,0.10348212681421257,0.0,0.10348212681421257
AZ,2018,2,0.10199033741193546,0.1068242269929532,0.10406004299541737,1.8,0.10406004299541737,2.2,0.10406004299541737,2.4,0.10406004299541737,1.5,0.1038176029834376,3.0,0.10411249991104433,0.0,0.1046394197321702
AZ,2019,1,0.1068242269929532,0.1054606537773045,0.10488041539301744,0.9,0.10488041539301744,1.1,0.10488041539301744,1.2,0.10488041539301744,0.75,0.10488041539301744,1.5,0.10488041539301744,0.0,0.1057015295540253
AZ,2020,0,0.1054606537773045,0.10391519627029908,0.10544203964391569,0.0,0.10544203964391569,0.0,0.10544203964391569,0.0,0.10544203964391569,0.0,0.10544203964391569,0.0,0.10544203964391569,0.0,0.10544203964391569
AZ,2021,0,0.10391519627029908,0.10570031602443007,0.10526772244315201,0.0,0.10526772244315201,0.0,0.10526772244315201,0.0,0.10526772244315201,0.0,0.10526772244315201,0.0,0.10526772244315201,0.0,0.10526772244315201
AZ,2022,0,0.10570031602443007,0.1150519685390102,0.10569144642040168,0.0,0.10569144642040168,0.0,0.10569144642040168,0.0,0.10569144642040168,0.0,0.10569144642040168,0.0,0.10569144642040168,0.0,0.10569144642040168
CA,2014,0,0.13302594425409756,0.1361822636411801,0.12778566666590344,0.0,0.12778566666590344,0.0,0.12778566666590344,0.0,0.12778566666590344,0.0,0.12778566666590344,0.0,0.12778566666590344,0.0,0.12778566666590344
CA,2015,3,0.1361822636411801,0.14176513016838196,0.12557595025727508,2.7,0.12557595025727508,3.3000000000000003,0.12557595025727508,3.5999999999999996,0.12557595025727508,2.25,0.1255234933416481,4.5,0.12557595025727508,0.0,0.12812153408778817
CA,2016,0,0.14176513016838196,0.13657084933025032,0.12812153408778817,0.0,0.12812153408778817,0.0,0.12812153408778817,0.0,0.12812153408778817,0.0,0.12812153408778817,0.0,0.12812153408778817,0.0,0.12812153408778817
CA,2017,0,0.13657084933025032,0.1427006844041945,0.12812153408778817,0.0,0.12812153408778817,0.0,0.12812153408778817,0.0,0.12812153408778817,0.0,0.12812153408778817,0.0,0.12812153408778817,0.0,0.12812153408778817
CA,2018,0,0.1427006844041945,0.12922727913512386,0.12812153408778817,0.0,0.12812153408778817,0.0,0.12812153408778817,0.0,0.12812153408778817,0.0,0.12812153408778817,0.0,0.12812153408778817,0.0,0.12812153408778817
CO,2015,0,0.10614020173355393,0.10541253536282262,0.10607426821162223,0.0,0.10607426821162223,0.0,0.10607426821162223,0.0,0.10607426821162223,0.0,0.10607426821162223,0.0,0.10607426821162223,0.0,0.10607426821162223
CO,2016,1,0.10541253536282262,0.10875938376710384,0.10516909251223915,0.9,0.10516909251223915,1.1,0.10516909251223915,1.2,0.10516909251223915,0.75,0.10516909251223915,1.5,0.10516909251223915,0.0,0.10598153631740845
CO,2017,0,0.10875938376710384,0.10942939982991119,0.1065050425114114,0.0,0.1065050425114114,0.0,0.1065050425114114,0.0,0.1065050425114114,0.0,0.1065050425114114,0.0,0.1065050425114114,0.0,0.1065050425114114
CO,2018,0,0.10942939982991119,0.11130986835702834,0.10759697854433987,0.0,0.10759697854433987,0.0,0.10759697854433987,0.0,0.10759697854433987,0.0,0.10759697854433987,0.0,0.10759697854433987,0.0,0.10759697854433987
CO,2019,0,0.11130986835702834,0.1189816270423842,0.11215222942413614,0.0,0.11215222942413614,0.0,0.11215222942413614,0.0,0.11215222942413614,0.0,0.11215222942413614,0.0,0.11215222942413614,0.0,0.11215222942413614
GA,2014,1,0.10667454956590486,0.10897025283798743,0.10517256173901783,0.9,0.10517256173901783,1.1,0.10517256173901783,1.2,0.10517256173901783,0.75,0.10517256173901783,1.5,0.10517256173901783,0.0,0.10611783479343487
GA,2015,1,0.10897025283798743,0.10982254463757796,0.10558150746380757,0.9,0.10558150746380757,1.1,0.10558150746380757,1.2,0.10558150746380757,0.75,0.10558150746380757,1.5,0.10558150746380757,0.0,0.10657173958012497
GA,2016,0,0.10982254463757796,0.10914134089624437,0.10759519765118628,0.0,0.10759519765118628,0.0,0.10759519765118628,0.0,0.10759519765118628,0.0,0.10759519765118628,0.0,0.10759519765118628,0.0,0.10759519765118628
GA,2017,0,0.10914134089624437,0.11123321848982964,0.10657173958012497,0.0,0.10657173958012497,0.0,0.10657173958012497,0.0,0.10657173958012497,0.0,0.10657173958012497,0.0,0.10657173958012497,0.0,0.10657173958012497
GA,2018,0,0.11123321848982964,0.11046901881562114,0.11215525571790226,0.0,0.11215525571790226,0.0,0.11215525571790226,0.0,0.11215525571790226,0.0,0.11215525571790226,0.0,0.11215525571790226,0.0,0.11215525571790226
IA,2014,1,0.0977095741819952,0.09933016086320608,0.09896365162860948,0.9,0.09896365162860948,1.1,0.09896365162860948,1.2,0.09896365162860948,0.75,0.09896365162860948,1.5,0.09896365162860948,0.0,0.09956794439207048
IA,2015,0,0.09933016086320608,0.10037116927691138,0.1005287140109399,0.0,0.1005287140109399,0.0,0.1005287140109399,0.0,0.1005287140109399,0.0,0.1005287140109399,0.0,0.1005287140109399,0.0,0.1005287140109399
IA,2016,0,0.10037116927691138,0.10105959762874965,0.10264470959723232,0.0,0.10264470959723232,0.0,0.10264470959723232,0.0,0.10264470959723232,0.0,0.10264470959723232,0.0,0.10264470959723232,0.0,0.10264470959723232
IA,2017,0,0.10105959762874965,0.1041119080880114,0.10347604542974145,0.0,0.10347604542974145,0.0,0.10347604542974145,0.0,0.10347604542974145,0.0,0.10347604542974145,0.0,0.10347604542974145,0.0,0.10347604542974145
IA,2019,0,0.10155853811832088,0.10637632085591649,0.10347604542974145,0.0,0.10347604542974145,0.0,0.10347604542974145,0.0,0.10347604542974145,0.0,0.10347604542974145,0.0,0.10347604542974145,0.0,0.10347604542974145
IA,2020,1,0.10637632085591649,0.09910315367872104,0.10363858522798894,0.9,0.10363858522798894,1.1,0.10363858522798894,1.2,0.10363858522798894,0.75,0.10363858522798894,1.5,0.10363858522798894,0.0,0.10419376815071829
IA,2021,0,0.09910315367872104,0.09934020985441844,0.1005287140109399,0.0,0.1005287140109399,0.0,0.1005287140109399,0.0,0.1005287140109399,0.0,0.1005287140109399,0.0,0.1005287140109399,0.0,0.1005287140109399
IA,2022,0,0.09934020985441844,0.1026314457252785,0.10253876384504901,0.0,0.10253876384504901,0.0,0.10253876384504901,0.0,0.10253876384504901,0.0,0.10253876384504901,0.0,0.10253876384504901,0.0,0.10253876384504901
IA,2023,0,0.1026314457252785,0.10376270704850198,0.10386873262236379,0.0,0.10386873262236379,0.0,0.10386873262236379,0.0,0.10386873262236379,0.0,0.10386873262236379,0.0,0.10386873262236379,0.0,0.10386873262236379
IL,2014,1,0.08810878431972381,0.09304298962354092,0.09398318965668856,0.9,0.09398318965668856,1.1,0.09398318965668856,1.2,0.09398318965668856,0.75,0.09398318965668856,1.5,0.09398318965668856,0.0,0.09492187890425409
IL,2015,0,0.09304298962354092,0.09429359181506096,0.09537783225870293,0.0,0.09537783225870293,0.0,0.09537783225870293,0.0,0.09537783225870293,0.0,0.09537783225870293,0.0,0.09537783225870293,0.0,0.09537783225870293
IL,2016,1,0.09429359181506096,0.09308444459448825,0.09522963815499137,0.9,0.09522963815499137,1.1,0.09522963815499137,1.2,0.09522963815499137,0.75,0.09522963815499137,1.5,0.09522963815499137,0.0,0.09622250725218466
IL,2017,0,0.09308444459448825,0.09509312380964784,0.09537783225870293,0.0,0.09537783225870293,0.0,0.09537783225870293,0.0,0.09537783225870293,0.0,0.09537783225870293,0.0,0.09537783225870293,0.0,0.09537783225870293
IL,2018,0,0.09509312380964784,0.09854679086856877,0.0991459846319917,0.0,0.0991459846319917,0.0,0.0991459846319917,0.0,0.0991459846319917,0.0,0.0991459846319917,0.0,0.0991459846319917,0.0,0.0991459846319917
IL,2019,0,0.09854679086856877,0.10609973749353079,0.09911484846916721,0.0,0.09911484846916721,0.0,0.09911484846916721,0.0,0.09911484846916721,0.0,0.09911484846916721,0.0,0.09911484846916721,0.0,0.09911484846916721
MI,2018,0,0.11619613763415423,0.1174142633640357,0.12180472663050208,0.0,0.12180472663050208,0.0,0.12180472663050208,0.0,0.12180472663050208,0.0,0.12180472663050208,0.0,0.12180472663050208,0.0,0.12180472663050208
MI,2019,1,0.1174142633640357,0.11582088444005233,0.11989360355191432,0.9,0.11989360355191432,1.1,0.11989360355191432,1.2,0.11989360355191432,0.75,0.11989360355191432,1.5,0.11989360355191432,0.0,0.12180472663050208
MI,2020,0,0.11582088444005233,0.11982813609351833,0.12180472663050208,0.0,0.12180472663050208,0.0,0.12180472663050208,0.0,0.12180472663050208,0.0,0.12180472663050208,0.0,0.12180472663050208,0.0,0.12180472663050208
MI,2021,0,0.11982813609351833,0.12276229066961614,0.12390801557416663,0.0,0.12390801557416663,0.0,0.12390801557416663,0.0,0.12390801557416663,0.0,0.12390801557416663,0.0,0.12390801557416663,0.0,0.12390801557416663
MI,2022,0,0.12276229066961614,0.1304789534148051,0.12390801557416663,0.0,0.12390801557416663,0.0,0.12390801557416663,0.0,0.12390801557416663,0.0,0.12390801557416663,0.0,0.12390801557416663,0.0,0.12390801557416663
MO,2018,0,0.10512576141852098,0.10405437251446192,0.10499107044836058,0.0,0.10499107044836058,0.0,0.10499107044836058,0.0,0.10499107044836058,0.0,0.10499107044836058,0.0,0.10499107044836058,0.0,0.10499107044836058
MO,2019,1,0.10405437251446192,0.10802169758692802,0.1042424663593325,0.9,0.1042424663593325,1.1,0.1042424663593325,1.2,0.1042424663593325,0.75,0.1042424663593325,1.5,0.1042424663593325,0.0,0.1048518230296421
MO,2020,0,0.10802169758692802,0.1018747566337162,0.10529884367587612,0.0,0.10529884367587612,0.0,0.10529884367587612,0.0,0.10529884367587612,0.0,0.10529884367587612,0.0,0.10529884367587612,0.0,0.10529884367587612
MO,2021,0,0.1018747566337162,0.10295799406907215,0.10411550144178741,0.0,0.10411550144178741,0.0,0.10411550144178741,0.0,0.10411550144178741,0.0,0.10411550144178741,0.0,0.10411550144178741,0.0,0.10411550144178741
MO,2022,0,0.10295799406907215,0.1053055443659938,0.10474704726927854,0.0,0.10474704726927854,0.0,0.10474704726927854,0.0,0.10474704726927854,0.0,0.10474704726927854,0.0,0.10474704726927854,0.0,0.10474704726927854
NE,2018,0,0.1031269789564044,0.10504045237940506,0.10471105813204587,0.0,0.10471105813204587,0.0,0.10471105813204587,0.0,0.10471105813204587,0.0,0.10471105813204587,0.0,0.10471105813204587,0.0,0.10471105813204587
NE,2019,1,0.10504045237940506,0.11107135006833731,0.1042690661198533,0.9,0.1042690661198533,1.1,0.1042690661198533,1.2,0.1042690661198533,0.75,0.1042690661198533,1.5,0.1042690661198533,0.0,0.10498687368360295
NE,2020,0,0.11107135006833731,0.09182614876321772,0.11120653481462706,0.0,0.11120653481462706,0.0,0.11120653481462706,0.0,0.11120653481462706,0.0,0.11120653481462706,0.0,0.11120653481462706,0.0,0.11120653481462706
NE,2021,0,0.09182614876321772,0.0899723953328758,0.09561542028581287,0.0,0.09561542028581287,0.0,0.09561542028581287,0.0,0.09561542028581287,0.0,0.09561542028581287,0.0,0.09561542028581287,0.0,0.09561542028581287
NE,2022,0,0.0899723953328758,0.08983544720482951,0.09548370041214208,0.0,0.09548370041214208,0.0,0.09548370041214208,0.0,0.09548370041214208,0.0,0.09548370041214208,0.0,0.09548370041214208,0.0,0.09548370041214208
NV,2014,1,0.07882606261199007,0.07786512754956143,0.0885537571621286,0.9,0.0885537571621286,1.1,0.0885537571621286,1.2,0.0885537571621286,0.75,0.0885537571621286,1.5,0.0885537571621286,0.0,0.08987192620154237
NV,2015,1,0.07786512754956143,0.09193532052133907,0.0885537571621286,0.9,0.0885537571621286,1.1,0.0885537571621286,1.2,0.0885537571621286,0.75,0.0885537571621286,1.5,0.0885537571621286,0.0,0.08987192620154237
NV,2016,0,0.09193532052133907,0.08981255113040017,0.0949842132295956,0.0,0.0949842132295956,0.0,0.0949842132295956,0.0,0.0949842132295956,0.0,0.0949842132295956,0.0,0.0949842132295956,0.0,0.0949842132295956
NV,2017,0,0.08981255113040017,0.09505057679648869,0.09485683805745229,0.0,0.09485683805745229,0.0,0.09485683805745229,0.0,0.09485683805745229,0.0,0.09485683805745229,0.0,0.09485683805745229,0.0,0.09485683805745229
NV,2018,2,0.09505057679648869,0.09986557370280344,0.09852853160244304,1.8,0.09852853160244304,2.2,0.09852853160244304,2.4,0.09852853160244304,1.5,0.09797813385978427,3.0,0.09865352718767752,0.0,0.09875087636096805
NV,2019,1,0.09986557370280344,0.10529601457266044,0.1016496768723901,0.9,0.1016496768723901,1.1,0.1016496768723901,1.2,0.1016496768723901,0.75,0.1016496768723901,1.5,0.1016496768723901,0.0,0.10220052169226146
NV,2020,1,0.10529601457266044,0.1044761051931354,0.10318976543951633,0.9,0.10318976543951633,1.1,0.10318976543951633,1.2,0.10318976543951633,0.75,0.10318976543951633,1.5,0.10318976543951633,0.0,0.10410777727637567
NV,2021,0,0.1044761051931354,0.1035767803213825,0.10388722639346164,0.0,0.10388722639346164,0.0,0.10388722639346164,0.0,0.10388722639346164,0.0,0.10388722639346164,0.0,0.10388722639346164,0.0,0.10388722639346164
NV,2022,0,0.1035767803213825,0.10607637820094151,0.10388722639346164,0.0,0.10388722639346164,0.0,0.10388722639346164,0.0,0.10388722639346164,0.0,0.10388722639346164,0.0,0.10388722639346164,0.0,0.10388722639346164
NV,2023,0,0.10607637820094151,0.11716149452749021,0.10427343831876028,0.0,0.10427343831876028,0.0,0.10427343831876028,0.0,0.10427343831876028,0.0,0.10427343831876028,0.0,0.10427343831876028,0.0,0.10427343831876028
OH,2015,0,0.09022575726208362,0.09011536434324811,0.09436371759640165,0.0,0.09436371759640165,0.0,0.09436371759640165,0.0,0.09436371759640165,0.0,0.09436371759640165,0.0,0.09436371759640165,0.0,0.09436371759640165
OH,2016,1,0.09011536434324811,0.08823680922800131,0.0935679935787825,0.9,0.0935679935787825,1.1,0.0935679935787825,1.2,0.0935679935787825,0.75,0.0935679935787825,1.5,0.0935679935787825,0.0,0.09436371759640165
OH,2017,0,0.08823680922800131,0.08913236531316045,0.09410956791433286,0.0,0.09410956791433286,0.0,0.09410956791433286,0.0,0.09410956791433286,0.0,0.09410956791433286,0.0,0.09410956791433286,0.0,0.09410956791433286
OH,2018,0,0.08913236531316045,0.09138425427954261,0.09410956791433286,0.0,0.09410956791433286,0.0,0.09410956791433286,0.0,0.09410956791433286,0.0,0.09410956791433286,0.0,0.09410956791433286,0.0,0.09410956791433286
OH,2019,2,0.09138425427954261,0.0982132739973966,0.09447078166390854,1.8,0.09447078166390854,2.2,0.09447078166390854,2.4,0.09447078166390854,1.5,0.0935679935787825,3.0,0.09456887398889738,0.0,0.09436371759640165
OH,2020,0,0.0982132739973966,0.08599947255850347,0.09690437157782997,0.0,0.09690437157782997,0.0,0.09690437157782997,0.0,0.09690437157782997,0.0,0.09690437157782997,0.0,0.09690437157782997,0.0,0.09690437157782997
OH,2021,0,0.08599947255850347,0.08865108310983806,0.09095781889064877,0.0,0.09095781889064877,0.0,0.09095781889064877,0.0,0.09095781889064877,0.0,0.09095781889064877,0.0,0.09095781889064877,0.0,0.09095781889064877
OH,2022,0,0.08865108310983806,0.10891402022048667,0.09410956791433286,0.0,0.09410956791433286,0.0,0.09410956791433286,0.0,0.09410956791433286,0.0,0.09410956791433286,0.0,0.09410956791433286,0.0,0.09410956791433286
OR,2014,1,0.07202240759174781,0.07434096705976845,0.08272880599985521,0.9,0.08272880599985521,1.1,0.08272880599985521,1.2,0.08272880599985521,0.75,0.08272880599985521,1.5,0.08272880599985521,0.0,0.08339944740495522
OR,2015,0,0.07434096705976845,0.07716783117882736,0.08339944740495522,0.0,0.08339944740495522,0.0,0.08339944740495522,0.0,0.08339944740495522,0.0,0.08339944740495522,0.0,0.08339944740495522,0.0,0.08339944740495522
OR,2016,2,0.07716783117882736,0.07982855985198992,0.0835742235815491,1.8,0.0835742235815491,2.2,0.0835742235815491,2.4,0.0835742235815491,1.5,0.08272880599985521,3.0,0.0837221773580655,0.0,0.08339944740495522
OR,2017,0,0.07982855985198992,0.07996503155132127,0.08353249702827645,0.0,0.08353249702827645,0.0,0.08353249702827645,0.0,0.08353249702827645,0.0,0.08353249702827645,0.0,0.08353249702827645,0.0,0.08353249702827645
OR,2018,1,0.07996503155132127,0.0814667761063918,0.08286185562317641,0.9,0.08286185562317641,1.1,0.08286185562317641,1.2,0.08286185562317641,0.75,0.08286185562317641,1.5,0.08286185562317641,0.0,0.08353249702827645
OR,2019,0,0.0814667761063918,0.08570832613687517,0.08385485161217782,0.0,0.08385485161217782,0.0,0.08385485161217782,0.0,0.08385485161217782,0.0,0.08385485161217782,0.0,0.08385485161217782,0.0,0.08385485161217782
OR,2020,0,0.08570832613687517,0.08370877845661802,0.08476888624343618,0.0,0.08476888624343618,0.0,0.08476888624343618,0.0,0.08476888624343618,0.0,0.08476888624343618,0.0,0.08476888624343618,0.0,0.08476888624343618
OR,2021,0,0.08370877845661802,0.08435953797885574,0.08397460591651035,0.0,0.08397460591651035,0.0,0.08397460591651035,0.0,0.08397460591651035,0.0,0.08397460591651035,0.0,0.08397460591651035,0.0,0.08397460591651035
TN,2014,0,0.09601459317554024,0.09824864190955325,0.09939989094943963,0.0,0.09939989094943963,0.0,0.09939989094943963,0.0,0.09939989094943963,0.0,0.09939989094943963,0.0,0.09939989094943963,0.0,0.09939989094943963
TN,2015,1,0.09824864190955325,0.09755183346302349,0.09929001536773234,0.9,0.09929001536773234,1.1,0.09929001536773234,1.2,0.09929001536773234,0.75,0.09929001536773234,1.5,0.09929001536773234,0.0,0.0992777358354629
TN,2016,0,0.09755183346302349,0.09786562815986315,0.09941830291495805,0.0,0.09941830291495805,0.0,0.09941830291495805,0.0,0.09941830291495805,0.0,0.09941830291495805,0.0,0.09941830291495805,0.0,0.09941830291495805
TN,2017,0,0.09786562815986315,0.09998696100628031,0.09935151883780675,0.0,0.09935151883780675,0.0,0.09935151883780675,0.0,0.09935151883780675,0.0,0.09935151883780675,0.0,0.09935151883780675,0.0,0.09935151883780675
TN,2018,0,0.09998696100628031,0.10012716781609127,0.10290300204838666,0.0,0.10290300204838666,0.0,0.10290300204838666,0.0,0.10290300204838666,0.0,0.10290300204838666,0.0,0.10290300204838666,0.0,0.10290300204838666
TX,2014,0,0.09770798448389616,0.10258178344906665,0.09929705169316107,0.0,0.09929705169316107,0.0,0.09929705169316107,0.0,0.09929705169316107,0.0,0.09929705169316107,0.0,0.09929705169316107,0.0,0.09929705169316107
TX,2015,2,0.10258178344906665,0.09775638058457009,0.10253016669171151,1.8,0.10253016669171151,2.2,0.10253016669171151,2.4,0.10253016669171151,1.5,0.10246614339362403,3.0,0.10258262360733851,0.0,0.10335853949507984
TX,2016,2,0.09775638058457009,0.09381812439863756,0.09875541513881594,1.8,0.09875541513881594,2.2,0.09875541513881594,2.4,0.09875541513881594,1.5,0.09832438623200151,3.0,0.0988400144310874,0.0,0.09915120688009499
TX,2017,2,0.09381812439863756,0.09454942952176638,0.09568674908604519,1.8,0.09568674908604519,2.2,0.09568674908604519,2.4,0.09568674908604519,1.5,0.09484813954433124,3.0,0.09578484141103402,0.0,0.09557601145160743
TX,2018,0,0.09454942952176638,0.09501725420312353,0.09634597325083621,0.0,0.09634597325083621,0.0,0.09634597325083621,0.0,0.09634597325083621,0.0,0.09634597325083621,0.0,0.09634597325083621,0.0,0.09634597325083621
TX,2019,2,0.09501725420312353,0.09863013691563434,0.0987396678533046,1.8,0.0987396678533046,2.2,0.0987396678533046,2.4,0.0987396678533046,1.5,0.09830573137242025,3.0,0.0988377601782934,0.0,0.0991861731902645
TX,2020,0,0.09863013691563434,0.09519761528210106,0.09907619064313679,0.0,0.09907619064313679,0.0,0.09907619064313679,0.0,0.09907619064313679,0.0,0.09907619064313679,0.0,0.09907619064313679,0.0,0.09907619064313679
TX,2021,0,0.09519761528210106,0.10700607054731585,0.09931836692601442,0.0,0.09931836692601442,0.0,0.09931836692601442,0.0,0.09931836692601442,0.0,0.09931836692601442,0.0,0.09931836692601442,0.0,0.09931836692601442
TX,2022,0,0.10700607054731585,0.11653104417494232,0.10464726880179576,0.0,0.10464726880179576,0.0,0.10464726880179576,0.0,0.10464726880179576,0.0,0.10464726880179576,0.0,0.10464726880179576,0.0,0.10464726880179576
VA,2014,3,0.10160483158911793,0.10559996397617787,0.10441052192799576,2.7,0.10441052192799576,3.3000000000000003,0.10441052192799576,3.5999999999999996,0.10441052192799576,2.25,0.10435806501236877,4.5,0.10441052192799576,0.0,0.10490063828226949
VA,2015,0,0.10559996397617787,0.10814704626504766,0.10573102753770294,0.0,0.10573102753770294,0.0,0.10573102753770294,0.0,0.10573102753770294,0.0,0.10573102753770294,0.0,0.10573102753770294,0.0,0.10573102753770294
VA,2016,0,0.10814704626504766,0.1057219388844675,0.10613444632209365,0.0,0.10613444632209365,0.0,0.10613444632209365,0.0,0.10613444632209365,0.0,0.10613444632209365,0.0,0.10613444632209365,0.0,0.10613444632209365
