State,Year,DC_Opened,PrevPrice,Avg_kWh,Pred_baseline,DC_minus10,Pred_minus10,DC_plus10,Pred_plus10,DC_plus20,Pred_plus20,DC_slow75,Pred_slow75,DC_fast150,Pred_fast150,DC_ban0,Pred_ban0
AZ,2014,1,0.09570724238479775,0.0967734276182658,0.09933977947775344,0.9,0.09933977947775344,1.1,0.09933977947775344,1.2,0.09933977947775344,0.75,0.09933977947775344,1.5,0.09933977947775344,0.0,0.10003139855823819
AZ,2015,1,0.0967734276182658,0.0990039746783915,0.09943615222401891,0.9,0.09943615222401891,1.1,0.09943615222401891,1.2,0.09943615222401891,0.75,0.09943615222401891,1.5,0.09943615222401891,0.0,0.10006965552848243
AZ,2016,0,0.0990039746783915,0.09963632318640511,0.1011932150599104,0.0,0.1011932150599104,0.0,0.1011932150599104,0.0,0.1011932150599104,0.0,0.1011932150599104,0.0,0.1011932150599104,0.0,0.1011932150599104
AZ,2017,0,0.09963632318640511,0.10199033741193546,0.10346392935829016,0.0,0.10346392935829016,0.0,0.10346392935829016,0.0,0.10346392935829016,0.0,0.10346392935829016,0.0,0.10346392935829016,0.0,0.10346392935829016
AZ,2018,2,0.10199033741193546,0.1068242269929532,0.1040970881952931,1.8,0.1040970881952931,2.2,0.1040970881952931,2.4,0.1040970881952931,1.5,0.1038780415013621,3.0,0.10414954511092007,0.0,0.10474150681760933
AZ,2019,1,0.1068242269929532,0.1054606537773045,0.10496424097191158,0.9,0.10496424097191158,1.1,0.10496424097191158,1.2,0.10496424097191158,0.75,0.10496424097191158,1.5,0.10496424097191158,0.0,0.10584904117174118
AZ,2020,0,0.1054606537773045,0.10391519627029908,0.10555415877624237,0.0,0.10555415877624237,0.0,0.10555415877624237,0.0,0.10555415877624237,0.0,0.10555415877624237,0.0,0.10555415877624237,0.0,0.10555415877624237
AZ,2021,0,0.10391519627029908,0.10570031602443007,0.10536310067030445,0.0,0.10536310067030445,0.0,0.10536310067030445,0.0,0.10536310067030445,0.0,0.10536310067030445,0.0,0.10536310067030445,0.0,0.10536310067030445
AZ,2022,0,0.10570031602443007,0.1150519685390102,0.10584447704945667,0.0,0.10584447704945667,0.0,0.10584447704945667,0.0,0.10584447704945667,0.0,0.10584447704945667,0.0,0.10584447704945667,0.0,0.10584447704945667
CA,2014,0,0.13302594425409756,0.1361822636411801,0.12803485837024978,0.0,0.12803485837024978,0.0,0.12803485837024978,0.0,0.12803485837024978,0.0,0.12803485837024978,0.0,0.12803485837024978,0.0,0.12803485837024978
CA,2015,3,0.1361822636411801,0.14176513016838196,0.12565269296332132,2.7,0.12565269296332132,3.3000000000000003,0.12565269296332132,3.5999999999999996,0.12565269296332132,2.25,0.12560023604769435,4.5,0.12565269296332132,0.0,0.12837072579213452
CA,2016,0,0.14176513016838196,0.13657084933025032,0.12837072579213452,0.0,0.12837072579213452,0.0,0.12837072579213452,0.0,0.12837072579213452,0.0,0.12837072579213452,0.0,0.12837072579213452,0.0,0.12837072579213452
CA,2017,0,0.13657084933025032,0.1427006844041945,0.12837072579213452,0.0,0.12837072579213452,0.0,0.12837072579213452,0.0,0.12837072579213452,0.0,0.12837072579213452,0.0,0.12837072579213452,0.0,0.12837072579213452
CA,2018,0,0.1427006844041945,0.12922727913512386,0.12837072579213452,0.0,0.12837072579213452,0.0,0.12837072579213452,0.0,0.12837072579213452,0.0,0.12837072579213452,0.0,0.12837072579213452,0.0,0.12837072579213452
CO,2015,0,0.10614020173355393,0.10541253536282262,0.10628704054446805,0.0,0.10628704054446805,0.0,0.10628704054446805,0.0,0.10628704054446805,0.0,0.10628704054446805,0.0,0.10628704054446805,0.0,0.10628704054446805
CO,2016,1,0.10541253536282262,0.10875938376710384,0.10528115430311463,0.9,0.10528115430311463,1.1,0.10528115430311463,1.2,0.10528115430311463,0.75,0.10528115430311463,1.5,0.10528115430311463,0.0,0.10617570051946013
CO,2017,0,0.10875938376710384,0.10942939982991119,0.10674752969099631,0.0,0.10674752969099631,0.0,0.10674752969099631,0.0,0.10674752969099631,0.0,0.10674752969099631,0.0,0.10674752969099631,0.0,0.10674752969099631
CO,2018,0,0.10942939982991119,0.11130986835702834,0.1077733127805074,0.0,0.1077733127805074,0.0,0.1077733127805074,0.0,0.1077733127805074,0.0,0.1077733127805074,0.0,0.1077733127805074,0.0,0.1077733127805074
CO,2019,0,0.11130986835702834,0.1189816270423842,0.11231631327651269,0.0,0.11231631327651269,0.0,0.11231631327651269,0.0,0.11231631327651269,0.0,0.11231631327651269,0.0,0.11231631327651269,0.0,0.11231631327651269
GA,2014,1,0.10667454956590486,0.10897025283798743,0.10529186411245967,0.9,0.10529186411245967,1.1,0.10529186411245967,1.2,0.10529186411245967,0.75,0.10529186411245967,1.5,0.10529186411245967,0.0,0.1063181774655953
GA,2015,1,0.10897025283798743,0.10982254463757796,0.10578195139407995,0.9,0.10578195139407995,1.1,0.10578195139407995,1.2,0.10578195139407995,0.75,0.10578195139407995,1.5,0.10578195139407995,0.0,0.10686963027357431
GA,2016,0,0.10982254463757796,0.10914134089624437,0.10783757956445676,0.0,0.10783757956445676,0.0,0.10783757956445676,0.0,0.10783757956445676,0.0,0.10783757956445676,0.0,0.10783757956445676,0.0,0.10783757956445676
GA,2017,0,0.10914134089624437,0.11123321848982964,0.10686963027357431,0.0,0.10686963027357431,0.0,0.10686963027357431,0.0,0.10686963027357431,0.0,0.10686963027357431,0.0,0.10686963027357431,0.0,0.10686963027357431
GA,2018,0,0.11123321848982964,0.11046901881562114,0.11236948664023359,0.0,0.11236948664023359,0.0,0.11236948664023359,0.0,0.11236948664023359,0.0,0.11236948664023359,0.0,0.11236948664023359,0.0,0.11236948664023359
IA,2014,1,0.0977095741819952,0.09933016086320608,0.09891693142767931,0.9,0.09891693142767931,1.1,0.09891693142767931,1.2,0.09891693142767931,0.75,0.09891693142767931,1.5,0.09891693142767931,0.0,0.09946350125701785
IA,2015,0,0.09933016086320608,0.10037116927691138,0.10045391856566269,0.0,0.10045391856566269,0.0,0.10045391856566269,0.0,0.10045391856566269,0.0,0.10045391856566269,0.0,0.10045391856566269,0.0,0.10045391856566269
IA,2016,0,0.10037116927691138,0.10105959762874965,0.10264571057298316,0.0,0.10264571057298316,0.0,0.10264571057298316,0.0,0.10264571057298316,0.0,0.10264571057298316,0.0,0.10264571057298316,0.0,0.10264571057298316
IA,2017,0,0.10105959762874965,0.1041119080880114,0.10351867182062284,0.0,0.10351867182062284,0.0,0.10351867182062284,0.0,0.10351867182062284,0.0,0.10351867182062284,0.0,0.10351867182062284,0.0,0.10351867182062284
IA,2019,0,0.10155853811832088,0.10637632085591649,0.10351867182062284,0.0,0.10351867182062284,0.0,0.10351867182062284,0.0,0.10351867182062284,0.0,0.10351867182062284,0.0,0.10351867182062284,0.0,0.10351867182062284
IA,2020,1,0.10637632085591649,0.09910315367872104,0.10362778493768104,0.9,0.10362778493768104,1.1,0.10362778493768104,1.2,0.10362778493768104,0.75,0.10362778493768104,1.5,0.10362778493768104,0.0,0.10424369330556171
IA,2021,0,0.09910315367872104,0.09934020985441844,0.10045391856566269,0.0,0.10045391856566269,0.0,0.10045391856566269,0.0,0.10045391856566269,0.0,0.10045391856566269,0.0,0.10045391856566269,0.0,0.10045391856566269
IA,2022,0,0.09934020985441844,0.1026314457252785,0.10252960966831755,0.0,0.10252960966831755,0.0,0.10252960966831755,0.0,0.10252960966831755,0.0,0.10252960966831755,0.0,0.10252960966831755,0.0,0.10252960966831755
IA,2023,0,0.1026314457252785,0.10376270704850198,0.10390856976661383,0.0,0.10390856976661383,0.0,0.10390856976661383,0.0,0.10390856976661383,0.0,0.10390856976661383,0.0,0.10390856976661383,0.0,0.10390856976661383
IL,2014,1,0.08810878431972381,0.09304298962354092,0.0937759630838538,0.9,0.0937759630838538,1.1,0.0937759630838538,1.2,0.0937759630838538,0.75,0.0937759630838538,1.5,0.0937759630838538,0.0,0.09465997299686789
IL,2015,0,0.09304298962354092,0.09429359181506096,0.0951234127335003,0.0,0.0951234127335003,0.0,0.0951234127335003,0.0,0.0951234127335003,0.0,0.0951234127335003,0.0,0.0951234127335003,0.0,0.0951234127335003
